Crop,Shelf-Life at Ideal Storage Temperature,
Sour cream,2-3 weeks,
"Whipped cream, aerosol",3-4 weeks,
"Whipped topping, aerosol",3 months,
"Whipped topping, non-dairy tub",2 weeks,
Yogurt,10-14 days,
,,
Items Purchased Frozen,Frozen (0°F or below),
"Bread, Bagels",3 months,
"Chicken, nuggets/ patties",2 months,
"Desserts, frozen baked goods",3-4 months,
"Desserts, frozen cream pies",1-2 months,
"Desserts, frozen fruit pies",6-8 months,
"Dinners: pies, casseroles, shrimp, ham, pork, or
sausage",3-4 months,
"Dinners: beef, turkey, chicken, or fish",6 months,
"Dough, bread","1 month; longer storage inactivates yeast,
weakens gluten",
"Dough, cookie",3 months,
Pasteurized eggs in cartons,"1 year, purchased frozen, unopened, never
thawed",
"Fish, Breaded",4-6 months,
Ice Pops,6 months,
"Fruit, frozen",4 months,
Ice cream,2-4 months,
Juice concentrate,2 years,
Soy meat substitutes,12-18 months,
Vegetables,8 months,
"Waffles, pancakes",2 months,
"Whipped topping, non-dairy tub",6 months,
"Meats, Fresh",Refrigerated (40°F or,
,below),
Fish/ Seafood: Uncooked,,
"Fatty fish (salmon, mackerel, perch, bluefish)",2 days,
"Lean fish (cod, flounder, sole, haddock,
pollock)",2 days,
"Shrimp, raw",2 days,
"Crab, canned","6 months unopened; 5-7
days opened",
"Crab, legs",3-5 days,
"Oysters, shucked",1-2 days,
"Lobster Tails, raw",4-5 days,
"Scallops, raw",1-2 days,
"Fish/ Seafood, Cooked",,
"Fatty Fish (salmon, mackerel, perch,",,
,5-7 days,
bluefish),,
"Lean Fish (cod, flounder, sole, haddock,",,
,5-7 days,
pollock),,
Shrimp and other Shellfish,5-7 days,
"Meats, Raw",,
Beef Roasts,3-5 days,
Beef Steaks,3-5 days,
Pork Roasts,3-5 days,
Pork Chops,3-5 days,
Lamb Roasts,3-5 days,
Lamb Steaks/ Chops,3-5 days,
"Poultry: Chicken or Turkey, whole cuts",2 days,
"Ground Meats (beef, pork, lamb, or poultry)",2 days,
"Meats, Processed",,
"Bacon, unopened",2 weeks,
"Bacon, opened",1 week,
"Chicken, Fried",4 days,
"Chicken, Nuggets/ Patties",2 days,
"Ham, unopened",2 weeks,
"Ham, opened",1 week,
"Hot Dogs, unopened",2 weeks,
"Luncheon Meats, deli sliced or opened",3-5 days,
"Luncheon Meats, unopened commercial
package",2 weeks,
"Pepperoni, Salami",1 month,
"Sausage, raw",2 days,
"Sausage, smoked links or patties",1 week,
,,
,Refrigerated (41°F or,
Prepared Items/ Deli Foods,below),
"Chicken, Roasted or Fried",3-4 days,
"Fruit, cut",Best By Date,
Guacamole,5-7 days,
"Hummus, Pasteurized",3 months,
"Hummus, with Preservatives",2 months,
"Hummus, traditional (no preservatives, not
pasteurized)",7 days,
"Main dishes, meals",3-4 days,
Meats in gravy or broth (including meat pies),1-2 days,
"Pasta, fresh",1 week,
"Salads, prepared (macaroni, egg, potato,
chicken, tuna, etc.)",3-5 Days,
"Sauces, Egg-Based (Hollandaise, etc.)",10 days,
"Side dishes, cooked vegetables",3-4 days,
"Side dishes, potato-based (not salad)",3-4 days,
"Side dishes, rice",3-4 days,
"Soups, Stews",2-3 days,
"Spinach, salad greens (bagged)",Date on Bag,
